SOURCE,APPRAISALSOURCE,SERIES,SERIESID,FREQUENCY,GEOLEVEL,GEONAME,STATEPOSTAL,STATEFIPS,FIPS,TRACT,METRO,PURPOSE,YEAR,QUARTER,CHARACTERISTIC1,CATEGORY1,SUPPRESSED,VALUE
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Both,2017,1,No Characteristic,All Appraisals,0,142.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Purchase,2017,2,No Characteristic,All Appraisals,0,121.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Refinance,2017,2,No Characteristic,All Appraisals,0,53.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Both,2017,2,No Characteristic,All Appraisals,0,174.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Purchase,2017,3,No Characteristic,All Appraisals,0,136.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Refinance,2017,3,No Characteristic,All Appraisals,0,69.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Both,2017,3,No Characteristic,All Appraisals,0,205.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Purchase,2017,4,No Characteristic,All Appraisals,0,116.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Refinance,2017,4,No Characteristic,All Appraisals,0,69.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Both,2017,4,No Characteristic,All Appraisals,0,185.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Purchase,2018,5,No Characteristic,All Appraisals,0,493.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Refinance,2018,5,No Characteristic,All Appraisals,0,222.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Both,2018,5,No Characteristic,All Appraisals,0,715.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Purchase,2018,1,No Characteristic,All Appraisals,0,104.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Refinance,2018,1,No Characteristic,All Appraisals,0,64.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Both,2018,1,No Characteristic,All Appraisals,0,168.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Purchase,2018,2,No Characteristic,All Appraisals,0,149.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Refinance,2018,2,No Characteristic,All Appraisals,0,57.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Both,2018,2,No Characteristic,All Appraisals,0,206.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Purchase,2018,3,No Characteristic,All Appraisals,0,129.0
UAD,Enterprise Single Family,Count of Appraisals,COUNT,Quarterly,County,Autauga County,AL,1,1001,,,Refinance,2018,3,No Characteristic,All Appraisals,0,38.0
